T,theta,kappa,H,X,Sg_re,Sg_im,Sp_re,Sp_im,Eg_re,Eg_im,Ep_re,Ep_im,D,sigma_hat,Q
60.0,0.3,0.3,3.4154298923797617,3.0,1.2369907256647326,0.08439141150323101,-0.13023212198241174,-0.09391694451124223,0.7837560623291123,0.061837604480143096,-0.1351461875808151,-0.09289471187958868,0.9189022499099274,0.5884707021620112,1.561508918853441
65.0,0.3,0.3,3.4984365929380252,3.0,0.8233157875702007,0.40479181310754275,0.0489471579071461,0.14379644971965602,0.3711722806255317,0.45735478850827066,0.06580561147436859,0.1488241373360986,0.3053666691511631,0.5281486147490736,0.5781832246142397
70.0,0.3,0.3,3.5770862508726156,4.0,0.5683609783019219,-0.13309708416054655,-0.04701676088913406,-0.12696412902476856,0.10391637019784677,-0.043205652712231174,-0.04563432759701746,-0.10708128766712467,0.14955069779486424,0.4543488042008218,0.32915393726614267
75.0,0.3,0.3,3.651895814776621,4.0,0.36126393620446606,0.8226773994207892,0.018968185888330782,0.2743345955568849,-0.17693724804235278,0.8121969133887489,0.032901290380012056,0.28464927759070163,-0.20983853842236483,0.5751898888446283,-0.36481611115220236
80.0,0.3,0.3,3.723291133272139,4.0,0.4136665665532707,-0.5600832858161667,0.1811822384234914,-0.21766595261391297,-0.19100590095977987,-0.5632703916211818,0.1985819745979053,-0.2176819741037026,-0.38958787555768515,0.6145414789519299,-0.6339488690366483
85.0,0.3,0.3,3.791627615651737,4.0,0.5187947638625089,-0.435778167913877,-0.10246899961816541,0.07386990295503956,-0.030040276468033422,-0.48095672977345916,-0.08945287269316969,0.05869600614773468,0.05941259622513627,0.5952774363950362,0.0998065651285816
90.0,0.3,0.3,3.8572052822268215,4.0,-0.14626955454602744,-0.6659840377424232,0.20320657028693279,-0.19649754696259475,-0.5903132700308461,-0.751276197211042,0.20025009145116957,-0.2140799958757129,-0.7905633614820157,0.6349531890960971,-1.2450734558990737
95.0,0.3,0.3,3.920279951613009,4.0,1.2081357791010454,0.12647276484552444,-0.2749248826650242,-0.032464694564302156,0.7377791060417855,0.037988923351226736,-0.2872087671596744,-0.044404290901571365,1.02498787320146,0.6261099068160829,1.6370733988442474
100.0,0.3,0.3,3.9810717055349722,4.0,0.4077394750850463,-0.02184110622906645,0.1450301477762912,0.058472374288907794,-0.02540273542155841,0.008398839838945998,0.12534410193204704,0.05991662547979789,-0.15074683735360545,0.3461023297315928,-0.4355556851365657
105.0,0.3,0.3,4.039771395287841,4.0,0.7925022862069345,0.0880716949234384,-0.24189629340837213,-0.030572672249576067,0.3610826680051708,0.17258625234892816,-0.2519925176237191,-0.015517536809426722,0.6130751856288899,0.6383288320599655,0.9604378728286814
110.0,0.3,0.3,4.096545713663848,4.0,0.04165591539915989,1.1212154163131394,0.1551095624859063,0.27016071805136127,-0.4328972428041624,1.1619152709905118,0.1559063003481894,0.2872167267339711,-0.5888035431523518,0.794468252477809,-0.7411291027879031
115.0,0.3,0.3,4.151541198814568,4.0,0.707183323191344,0.13263322225127236,-0.02845865574220867,-0.13999884170238042,0.10605516015644267,0.18262980147899457,-0.013661123373730969,-0.1269642447705668,0.11971628353017365,0.5071078396462821,0.23607657813706479
120.0,0.3,0.3,4.204887431174572,4.0,0.12669541532136605,0.035064496752216304,0.08945545509844136,0.21509173044162416,-0.4430015724484293,0.04187568472520554,0.10736876261982004,0.211406657692683,-0.5503703350682494,0.5164589123500337,-1.065661414504223
125.0,0.3,0.3,4.2566996126039225,4.0,0.08465186326352403,-0.8248898287697773,0.09662600829338386,-0.2929885447421198,-0.414435958586628,-0.8945317828467042,0.10742349247611596,-0.3058059283626556,-0.521859451062744,0.6632003467904396,-0.7868805461099118
130.0,0.3,0.3,4.307080666837073,4.0,0.87362339257957,0.04886881059458559,-0.1382547983812753,0.08650570583666241,0.4000888012385996,-0.09200415752657573,-0.13965184465769667,0.06689170346800553,0.5397406458962962,0.5728758769115423,0.9421598423835142
135.0,0.3,0.3,4.356122964910856,4.0,0.7585310932741831,-0.8838829123870345,0.10830798576962172,-0.20779703267964228,0.3351551916188073,-0.9134410729092691,0.09259559114873707,-0.21805792458637888,0.24255960047007025,0.6614089261877796,0.36673167062944284
140.0,0.3,0.3,4.403909753814732,4.0,0.9351407869034134,-0.042978071625601355,-0.28595499007963704,0.07838317494481861,0.5736833202801979,-0.014987317701797325,-0.3024332820772878,0.08015808219068352,0.8761166023574857,0.7070103129810626,1.2391850391310382
60.0,0.5,0.3,3.4154298923797617,8.0,1.2369907256647326,0.08439141150323101,-0.6192781311063872,-0.08573354777079142,0.7837560623291123,0.061837604480143096,-0.6622293751000422,-0.08515696878629944,1.4459854374291545,0.8968798300364191,1.6122398887824672
65.0,0.5,0.3,3.4984365929380252,8.0,0.8233157875702007,0.40479181310754275,-0.09917289736505162,0.5183777362994153,0.3711722806255317,0.45735478850827066,-0.13138290651743267,0.565996806167089,0.5025551871429643,0.7888966958821071,0.6370354822959815
70.0,0.5,0.3,3.5770862508726156,8.0,0.5683609783019219,-0.13309708416054655,-0.038773940749890594,-0.1273884845647143,0.10391637019784677,-0.043205652712231174,-0.05284810318149384,-0.054587809688513525,0.15676447337934063,0.6141436889957663,0.2552569963483274
75.0,0.5,0.3,3.651895814776621,9.0,0.36126393620446606,0.8226773994207892,0.11970964726541158,0.7085891748409043,-0.17693724804235278,0.8121969133887489,0.15862879905071509,0.7249729935362271,-0.33556604709306787,0.7832802809971596,-0.42841120252111226
80.0,0.5,0.3,3.723291133272139,9.0,0.4136665665532707,-0.5600832858161667,0.272183593967902,-0.4767031499276299,-0.19100590095977987,-0.5632703916211818,0.34723199215933526,-0.4753718467199926,-0.5382378931191152,0.8347426863457924,-0.6447949792472335
85.0,0.5,0.3,3.791627615651737,9.0,0.5187947638625089,-0.435778167913877,-0.06858700971036022,-0.15019954552182407,-0.030040276468033422,-0.48095672977345916,-0.028132262631898684,-0.18737646956327186,-0.001908013836134738,0.8338279830147755,-0.002288258339851048
90.0,0.5,0.3,3.8572052822268215,9.0,-0.14626955454602744,-0.6659840377424232,0.5177300837912161,-0.5336333940539025,-0.5903132700308461,-0.751276197211042,0.4866986299121102,-0.6022659817005758,-1.0770118999429563,0.8837516948175818,-1.2186815666195312
95.0,0.5,0.3,3.920279951613009,10.0,1.2081357791010454,0.12647276484552444,-0.6573621774746127,0.017887981884269516,0.7377791060417855,0.037988923351226736,-0.6871990105905088,-0.042728725648348224,1.4249781166322943,0.8676663643698493,1.6423111176692873
100.0,0.5,0.3,3.9810717055349722,10.0,0.4077394750850463,-0.02184110622906645,0.15126246275694152,0.03515553111214308,-0.02540273542155841,0.008398839838945998,0.09474687936426165,0.05486990538281507,-0.12014961478582006,0.4803623519281015,-0.2501228797460037
105.0,0.5,0.3,4.039771395287841,10.0,0.7925022862069345,0.0880716949234384,-0.41896685632313135,0.008696371920525327,0.3610826680051708,0.17258625234892816,-0.46621354803316406,0.07222544584078568,0.8272962160383348,0.8887052885341896,0.9309005209171856
110.0,0.5,0.3,4.096545713663848,10.0,0.04165591539915989,1.1212154163131394,0.3663899299456479,0.8809269627984639,-0.4328972428041624,1.1619152709905118,0.36289352153089105,0.9236149992656894,-0.7957907643350535,1.1462593117861297,-0.6942502068707582
115.0,0.5,0.3,4.151541198814568,11.0,0.707183323191344,0.13263322225127236,-0.16233471997777105,-0.05670734198649592,0.10605516015644267,0.18262980147899457,-0.07897397971001051,-0.012652597649615717,0.1850291398664532,0.7506941843525753,0.24647738549623738
120.0,0.5,0.3,4.204887431174572,11.0,0.12669541532136605,0.035064496752216304,0.2979928044813962,0.2039069463544283,-0.4430015724484293,0.04187568472520554,0.3645641508023749,0.20533824994195127,-0.8075657232508042,0.7151914469523807,-1.1291602083498826
125.0,0.5,0.3,4.2566996126039225,11.0,0.08465186326352403,-0.8248898287697773,0.31098050080214595,-0.7893640328191753,-0.414435958586628,-0.8945317828467042,0.33016753630277923,-0.8406435772408395,-0.7446034948894072,0.9285444524046627,-0.8019039831222928
130.0,0.5,0.3,4.307080666837073,11.0,0.87362339257957,0.04886881059458559,-0.3809375517744312,0.12909024631640725,0.4000888012385996,-0.09200415752657573,-0.382434658358489,0.022458860283488105,0.7825234595970886,0.8411914630327575,0.9302560641495903
135.0,0.5,0.3,4.356122964910856,12.0,0.7585310932741831,-0.8838829123870345,-0.11412432443475787,-0.7681215507251529,0.3351551916188073,-0.9134410729092691,-0.15635764227845517,-0.7933482717527317,0.49151283389726247,0.9854624861780149,0.4987636168714342
140.0,0.5,0.3,4.403909753814732,12.0,0.9351407869034134,-0.042978071625601355,-0.5629290483147009,0.06034169613139852,0.5736833202801979,-0.014987317701797325,-0.6422788431220084,0.08110069300154049,1.2159621634022062,0.9973284000294708,1.2192194299954506
60.0,0.7,0.3,3.4154298923797617,18.0,1.2369907256647326,0.08439141150323101,-0.9101618503541296,-0.05453528100259396,0.7837560623291123,0.061837604480143096,-0.9517067598693825,-0.06837737947299964,1.7354628221984947,1.1072223583471819,1.5674022558478007
65.0,0.7,0.3,3.4984365929380252,19.0,0.8233157875702007,0.40479181310754275,-0.34486403649211916,0.5892286085671359,0.3711722806255317,0.45735478850827066,-0.3909212043430971,0.6505433762734123,0.7620934849686287,0.9572553213375973,0.7961235294087852
70.0,0.7,0.3,3.5770862508726156,20.0,0.5683609783019219,-0.13309708416054655,-0.17428996471334474,-0.35760791110325446,0.10391637019784677,-0.043205652712231174,-0.2077062434272089,-0.24918838392026188,0.31162261362505567,0.7775302285854464,0.4007852070163083
75.0,0.7,0.3,3.651895814776621,21.0,0.36126393620446606,0.8226773994207892,0.13944174626589173,1.0179178993391003,-0.17693724804235278,0.8121969133887489,0.17933140962339467,1.0078754981372218,-0.35626865766574745,0.9675027660468134,-0.3682352859015073
80.0,0.7,0.3,3.723291133272139,21.0,0.4136665665532707,-0.5600832858161667,0.11161424171202275,-0.7868683955642164,-0.19100590095977987,-0.5632703916211818,0.22018930728257,-0.7883431669473033,-0.4111952082423499,1.0139266048821858,-0.40554731107990716
85.0,0.7,0.3,3.791627615651737,22.0,0.5187947638625089,-0.435778167913877,-0.18681468615896468,-0.3906302544581642,-0.030040276468033422,-0.48095672977345916,-0.14105408958005755,-0.4452291190043707,0.11101381311202413,1.081533826589198,0.10264479055835468
